04-05-2023 	 10:57:10 	 cb19d55f-34e9-4f95-bff0-11c5122a1748 	 GET	undefined	/ 
04-05-2023 	 10:57:11 	 659cbc26-19b8-4968-9d23-e0b86303b80e 	 GET	undefined	/favicon.ico 
04-05-2023 	 10:58:01 	 2c36dffb-91e6-4031-bb71-0bd575149726 	 GET	undefined	/ 
04-05-2023 	 10:58:01 	 f391caa8-5017-4c82-8529-6c28c6e004b9 	 GET	undefined	/css/style.css 
04-05-2023 	 10:58:02 	 ba6cbefc-ca78-4dce-a7bb-9aab42acebc4 	 GET	undefined	/favicon.ico 
04-05-2023 	 11:03:45 	 0b6c26a3-6e99-4714-b051-ad8cfa57b98d 	 GET	undefined	/.json 
04-05-2023 	 11:03:45 	 b3f121d4-cda2-4240-b013-8f46df73f171 	 GET	undefined	/css/style.css 
04-05-2023 	 11:03:45 	 d00d645f-51d4-4e38-98e6-50284715dd23 	 GET	undefined	/favicon.ico 
04-05-2023 	 11:04:06 	 a505ec07-c97e-4379-ba69-6ee398256cae 	 GET	undefined	/jjj 
04-05-2023 	 11:04:06 	 52ed3e0a-84b0-49db-8785-cdc58d6ee66b 	 GET	undefined	/css/style.css 
04-05-2023 	 11:30:17 	 07b6438c-8efe-4020-8ff5-9b17642d6114 	 GET	undefined	/data/data.json 
04-05-2023 	 11:30:18 	 d3654069-de7a-4689-89d6-6cb9cf7690af 	 GET	undefined	/css/style.css 
04-05-2023 	 11:30:18 	 34dd82dd-547a-49b9-959b-cd3a800ce93f 	 GET	undefined	/favicon.ico 
04-05-2023 	 11:30:51 	 30a48f83-2aa8-4f82-80a5-95d059d25bdf 	 GET	undefined	/data.txt 
04-05-2023 	 11:31:11 	 80629db7-d008-40b7-9e88-ca08876a2314 	 GET	undefined	/data.json 
04-10-2023 	 03:53:21 	 e0947bee-27c9-43ac-8645-d3327db1c636 	 GET	undefined	/ 
04-10-2023 	 03:53:22 	 3ac0e632-0b85-425a-814a-bce4039dbf01 	 GET	undefined	/css/style.css 
04-10-2023 	 03:53:22 	 4a1d5a27-65de-4377-9454-21db3818f438 	 GET	undefined	/favicon.ico 
04-10-2023 	 03:53:29 	 ffb5b93e-b588-4b77-a4c8-9a3c1ac38884 	 GET	undefined	/new-page.html 
04-10-2023 	 03:53:29 	 7f9a8817-7fed-4bf9-92bc-9e79108ebd9e 	 GET	undefined	/css/style.css 
04-10-2023 	 03:53:29 	 f7e3cb04-0461-4cc3-a594-eaa901795c01 	 GET	undefined	/img/img1.jpg 
04-10-2023 	 03:53:42 	 d978a8f5-ad2f-4836-ba80-60de721d310a 	 GET	undefined	/subdir/sub.html 
04-10-2023 	 03:53:43 	 c0d270e5-4b3e-4867-beb4-1e535eeaf53c 	 GET	undefined	/css/style.css 
04-10-2023 	 03:53:48 	 44213249-df48-4d0a-9ffb-7cadaa8d4e17 	 GET	undefined	/subdir/test.html 
04-10-2023 	 03:53:48 	 2ae88851-f936-45b6-84af-63c30baf5af6 	 GET	undefined	/css/style.css 
04-10-2023 	 04:30:53 	 cb69bd05-b4ff-4bc6-936c-4e0f7f2d45a9 	 GET	undefined	/ 
04-10-2023 	 05:11:30 	 df35a41b-b5c8-40f3-b1f2-a9871927bc2b 	 GET	undefined	/employees 
04-10-2023 	 05:12:14 	 0a0b3e4c-a877-41da-a60e-474f82b641df 	 POST	undefined	/employees 
04-10-2023 	 05:13:09 	 ed63e5a6-4d7f-4e84-9644-1cd614758ea1 	 POST	undefined	/employees 
04-10-2023 	 05:13:32 	 0de4244c-291c-4621-a937-f1adbb902864 	 PUT	undefined	/employees 
04-10-2023 	 05:13:46 	 e162180b-f6ea-40bb-b6a4-6133895ace6d 	 DELETE	undefined	/employees 
04-10-2023 	 05:14:11 	 f7f303fc-6acb-47d2-803b-cca807c259d0 	 DELETE	undefined	/employees/1 
04-10-2023 	 05:14:37 	 573698d7-e1d8-4c32-98dc-cbe286fc128f 	 DELETE	undefined	/employees/1 
04-10-2023 	 05:15:04 	 01df61b3-8a08-425e-90ad-36acd3c25db7 	 DELETE	undefined	/employees/1 
04-10-2023 	 05:15:14 	 30e5adff-008f-4b88-8993-44f36f414e1e 	 GET	undefined	/employees/1 
04-10-2023 	 05:15:28 	 d92e16c5-ef8d-4b14-ac91-674fafecf561 	 GET	undefined	/employees/2 
04-12-2023 	 11:12:26 	 3b931899-59cf-4c39-99c3-0c5590891730 	 POST	undefined	/employees 
04-12-2023 	 11:13:20 	 1ad369e3-9b95-43c1-b6c7-1f357a1d209b 	 GET	undefined	/employees 
04-12-2023 	 11:13:26 	 bce31ef3-3cc9-4f03-85b7-02f964f75d52 	 POST	undefined	/employees 
04-12-2023 	 11:14:52 	 8bbfe4bf-fc0a-467c-bd18-a1523f93c34c 	 GET	undefined	/employees 
04-12-2023 	 11:16:39 	 e026d592-f186-487c-b841-4f5dcd1f42a4 	 GET	undefined	/employees 
04-12-2023 	 11:17:07 	 f120666b-9929-4de3-a0cb-fedb3b866977 	 POST	undefined	/employees 
04-12-2023 	 11:18:11 	 5cd7a806-94de-4508-b683-4defd54ef482 	 POST	undefined	/employees 
